,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
2379,2380,Rusty LaRue,98,16.0,1.9,5.1,0.376,0.6,1.7,0.318,0.6,0.7,0.841,1.0,1.5,0.2,1.1,1.3,1.6,0.6,0.1,5.0,190.5,83.91452
2382,2383,Ed O'Bannon,128,16.1,1.9,5.3,0.36700000000000005,0.2,1.0,0.222,0.8,1.1,0.755,0.6,1.5,0.9,1.6,2.5,0.8,0.6,0.2,5.0,203.2,100.697424
2385,2386,Michael Smith,141,9.4,2.1,4.4,0.474,0.1,0.4,0.15,0.7,0.9,0.835,0.8,0.8,0.5,1.0,1.5,1.0,0.1,0.0,5.0,203.2,104.32616
2386,2387,Sergio Rodriguez,353,15.0,1.9,4.7,0.409,0.6,1.7,0.337,0.5,0.7,0.7390000000000001,1.4,1.2,0.3,1.1,1.5,3.4,0.6,0.0,4.9,190.5,76.203456
2387,2388,Shawn Respert,172,13.7,1.8,4.4,0.414,0.6,1.7,0.34,0.7,0.9,0.816,0.7,1.1,0.5,0.8,1.3,1.0,0.5,0.0,4.9,187.96,83.91452
2388,2389,Willie Reed,152,12.4,2.1,3.5,0.5920000000000001,0.0,0.0,0.33299999999999996,0.7,1.3,0.561,0.4,1.6,1.4,2.4,3.8,0.3,0.2,0.7,4.9,208.28,99.79024
2390,2391,Eduardo Najera,619,18.1,1.9,4.0,0.48100000000000004,0.2,0.6,0.311,0.9,1.3,0.6709999999999999,0.6,2.2,1.4,2.3,3.7,0.8,0.7,0.4,4.9,203.2,106.140528
2392,2393,Elliot Williams,109,13.5,1.8,4.2,0.42100000000000004,0.5,1.6,0.31,0.9,1.3,0.669,0.7,1.4,0.3,1.1,1.5,0.9,0.4,0.1,4.9,196.0,86.0
2396,2397,Sasha Pavlovic,567,15.7,1.9,4.7,0.40399999999999997,0.5,1.6,0.34600000000000003,0.6,0.9,0.6729999999999999,0.8,1.8,0.3,1.4,1.8,0.9,0.5,0.2,4.9,200.66,95.25432
2397,2398,Johnathan Motley,46,8.1,2.0,3.5,0.552,0.0,0.2,0.2,1.0,1.6,0.5870000000000001,0.7,1.1,0.8,1.6,2.4,0.6,0.2,0.1,4.9,208.28,104.32616
2398,2399,Michael Doleac,587,15.0,2.1,4.8,0.439,0.0,0.0,0.125,0.7,0.8,0.7909999999999999,0.6,2.2,1.0,2.3,3.3,0.6,0.3,0.4,4.9,210.82,118.841104
2400,2401,Miles Plumlee,346,16.4,2.2,4.0,0.542,0.0,0.0,0.0,0.6,1.1,0.5429999999999999,0.9,1.6,1.6,2.9,4.5,0.5,0.4,0.7,4.9,210.82,115.66596000000001
2401,2402,Jeff Foster,764,20.6,1.9,3.9,0.49700000000000005,0.0,0.1,0.13,1.0,1.7,0.615,0.8,2.5,2.8,4.1,6.9,0.9,0.7,0.4,4.9,210.82,107.95489599999999
2402,2403,Noah Vonleh,339,16.8,1.9,4.1,0.45899999999999996,0.3,0.9,0.308,0.8,1.2,0.691,0.8,1.8,1.4,3.8,5.1,0.8,0.4,0.4,4.9,208.28,108.86208
2403,2404,Duane Causwell,541,17.4,1.9,3.8,0.507,0.0,0.0,0.28600000000000003,1.1,1.8,0.618,0.9,2.7,1.5,2.7,4.2,0.4,0.4,1.4,4.9,213.36,108.86208
2408,2409,Tarik Black,220,15.1,2.0,3.6,0.55,0.0,0.1,0.14300000000000002,0.9,1.5,0.5820000000000001,0.7,2.3,1.8,2.9,4.7,0.5,0.4,0.5,4.9,210.82,116.573144
2411,2412,Malik Allen,478,15.2,2.2,4.9,0.439,0.0,0.0,0.188,0.5,0.7,0.778,0.7,1.9,1.0,1.9,2.8,0.5,0.3,0.5,4.9,208.28,115.66596000000001
2412,2413,Thomas Robinson,313,13.4,2.0,4.3,0.47,0.0,0.0,0.0,0.8,1.6,0.505,1.0,1.7,1.7,3.1,4.8,0.6,0.5,0.4,4.9,208.28,107.501304
2414,2415,Chris Clemons,33,8.8,1.7,4.3,0.401,1.1,3.2,0.34600000000000003,0.3,0.3,0.909,0.6,0.8,0.1,0.8,0.9,0.8,0.3,0.2,4.9,175.26,81.64656
2415,2416,Scott Brooks,680,13.6,1.8,4.0,0.45,0.4,1.1,0.37200000000000005,0.8,1.0,0.8490000000000001,0.7,1.2,0.2,0.8,1.0,2.4,0.7,0.0,4.9,180.34,74.84268
2420,2421,Quincy Acy,337,16.0,1.7,3.9,0.444,0.5,1.6,0.35,0.9,1.1,0.759,0.6,2.0,0.9,2.6,3.5,0.6,0.4,0.4,4.9,200.66,102.0582
2421,2422,Emanual Davis,226,17.4,1.8,4.5,0.39399999999999996,0.7,2.0,0.35200000000000004,0.6,0.8,0.787,1.2,1.5,0.3,1.6,1.9,1.8,0.7,0.1,4.9,195.58,87.996848
2424,2425,David Andersen,103,12.3,2.0,4.5,0.44,0.3,1.0,0.34700000000000003,0.6,0.9,0.674,0.6,1.5,0.7,2.1,2.8,0.6,0.2,0.2,4.9,210.82,111.13004
2426,2427,Mike Penberthy,56,15.4,1.7,4.0,0.415,1.0,2.5,0.396,0.6,0.6,0.8859999999999999,0.6,1.0,0.2,1.0,1.2,1.3,0.4,0.0,4.9,190.5,81.64656
2430,2431,Jalen Jones,32,12.4,1.6,4.1,0.4,0.6,1.7,0.37,1.0,1.4,0.674,0.5,1.5,0.8,1.5,2.2,0.3,0.4,0.1,4.8,200.66,99.79024
2431,2432,Elie Okobo,108,15.5,1.7,4.4,0.395,0.6,1.9,0.315,0.8,1.1,0.737,1.0,1.5,0.3,1.5,1.7,2.2,0.5,0.1,4.8,190.5,86.18248
2433,2434,Dean Garrett,359,19.4,2.0,4.2,0.48,0.0,0.0,0.0,0.8,1.2,0.677,0.6,1.9,1.7,3.4,5.0,0.6,0.5,1.0,4.8,210.82,113.398
2435,2436,Jeremy Pargo,86,13.1,1.9,4.9,0.379,0.4,1.4,0.319,0.7,1.0,0.644,1.2,1.2,0.2,0.8,1.0,1.8,0.3,0.0,4.8,187.96,99.336648
2437,2438,Dontell Jefferson,6,14.0,1.8,3.7,0.5,0.2,0.3,0.5,1.0,1.5,0.667,1.0,1.5,0.2,1.8,2.0,1.5,0.7,0.2,4.8,195.58,88.45044
2438,2439,Joe Kleine,965,15.2,2.0,4.4,0.45299999999999996,0.0,0.0,0.271,0.9,1.1,0.794,0.8,2.1,1.3,2.8,4.1,0.6,0.3,0.3,4.8,213.36,122.923432
2439,2440,Anthony Carter,623,19.6,2.0,4.9,0.40399999999999997,0.2,0.7,0.25,0.7,1.0,0.706,1.5,1.8,0.4,1.7,2.1,3.8,1.0,0.2,4.8,185.42,86.18248
2444,2445,Randy Brown,655,17.6,1.9,4.7,0.41700000000000004,0.0,0.2,0.2,0.9,1.3,0.691,1.1,1.9,0.5,1.3,1.8,2.2,1.1,0.2,4.8,187.96,86.18248
2448,2449,Andrew DeClercq,587,16.8,1.9,3.8,0.507,0.0,0.0,0.0,1.0,1.6,0.621,0.9,3.0,1.7,2.5,4.2,0.6,0.7,0.5,4.8,208.28,104.32616
2450,2451,Pete Myers,377,16.0,1.8,4.2,0.42100000000000004,0.1,0.4,0.21899999999999997,1.2,1.8,0.6679999999999999,1.2,1.8,0.6,1.2,1.8,2.1,0.7,0.2,4.8,198.12,81.64656
2453,2454,Clifford Rozier,173,17.2,2.0,4.1,0.496,0.0,0.1,0.182,0.7,1.6,0.465,0.9,2.5,2.2,3.0,5.2,0.6,0.5,0.7,4.8,210.82,104.32616
2456,2457,Jared Jeffries,629,21.6,1.8,4.3,0.426,0.1,0.5,0.25,1.0,1.6,0.583,1.1,2.4,1.9,2.2,4.1,1.3,0.7,0.5,4.8,210.82,104.32616
2457,2458,Milt Palacio,470,17.9,1.8,4.4,0.419,0.1,0.4,0.235,1.0,1.4,0.7190000000000001,1.3,1.5,0.3,1.4,1.8,2.5,0.6,0.1,4.8,190.5,88.45044
2458,2459,Luke Babbitt,381,14.0,1.7,4.2,0.408,1.0,2.6,0.402,0.3,0.4,0.747,0.4,1.4,0.3,1.9,2.2,0.6,0.2,0.2,4.8,205.74,102.0582
2459,2460,Travis Diener,179,14.9,1.7,4.3,0.38799999999999996,0.9,2.6,0.353,0.5,0.6,0.847,0.6,1.1,0.2,1.1,1.4,2.4,0.4,0.1,4.8,185.42,79.3786
2464,2465,Paul McPherson,55,10.8,2.0,3.9,0.505,0.0,0.2,0.16699999999999998,0.8,1.1,0.7240000000000001,0.9,1.5,0.7,0.7,1.4,0.7,0.5,0.1,4.8,193.04,95.25432
2466,2467,Lavoy Allen,388,17.8,2.1,4.5,0.47100000000000003,0.0,0.0,0.133,0.5,0.7,0.682,0.7,1.8,1.8,2.9,4.8,1.0,0.3,0.6,4.8,205.74,102.0582
2467,2468,Robert Traylor,438,14.3,1.9,4.1,0.474,0.0,0.1,0.16699999999999998,0.9,1.6,0.5770000000000001,0.9,2.5,1.5,2.2,3.7,0.7,0.6,0.7,4.8,203.2,128.820128
2468,2469,Jason Hart,341,15.5,1.8,4.3,0.41700000000000004,0.2,0.6,0.315,1.0,1.2,0.7879999999999999,0.8,1.5,0.2,1.4,1.7,2.3,0.7,0.1,4.8,187.96,82.10015200000002
2471,2472,Jake Tsakalidis,315,15.9,1.8,3.8,0.49,0.0,0.0,0.0,1.1,1.6,0.657,0.9,2.2,1.4,2.5,3.9,0.3,0.2,0.7,4.8,218.44,129.27372
2472,2473,Justin Wright-Foreman,4,11.3,1.8,5.0,0.35,0.5,2.5,0.2,0.8,1.0,0.75,0.8,1.2,0.0,1.2,1.2,1.8,0.5,0.0,4.8,182.88,86.18248
2478,2479,Johnny Taylor,54,16.0,1.9,4.6,0.402,0.5,1.3,0.39399999999999996,0.5,0.7,0.718,0.8,2.3,0.7,1.6,2.2,0.5,0.6,0.4,4.7,205.74,99.79024
2484,2485,Brian Skinner,608,17.9,2.0,4.0,0.494,0.0,0.0,0.33299999999999996,0.8,1.4,0.5660000000000001,0.9,2.1,1.5,3.2,4.7,0.5,0.4,0.9,4.7,205.74,115.66596000000001
2486,2487,Will Perdue,792,15.6,1.9,3.7,0.515,0.0,0.0,0.067,0.9,1.5,0.5770000000000001,1.0,2.0,1.8,3.2,4.9,0.8,0.3,0.7,4.7,213.36,108.86208
2494,2495,Gustavo Ayon,135,16.7,2.1,3.9,0.536,0.0,0.0,0.0,0.5,1.0,0.504,0.9,2.0,1.4,3.0,4.4,1.3,0.7,0.5,4.7,208.28,113.398
2495,2496,Lester Hudson,57,10.4,1.7,4.4,0.375,0.5,1.8,0.27699999999999997,0.9,1.1,0.8059999999999999,1.0,0.9,0.3,1.1,1.4,1.2,0.6,0.1,4.7,190.5,86.18248
2496,2497,Alex Garcia,10,15.9,1.9,5.9,0.322,0.5,1.8,0.278,0.4,0.6,0.667,0.9,1.5,0.7,0.8,1.5,1.8,0.6,0.1,4.7,190.5,88.45044
2497,2498,Luke Walton,564,17.2,1.9,4.3,0.429,0.3,1.0,0.326,0.7,0.9,0.715,1.1,1.4,0.9,2.0,2.8,2.3,0.6,0.2,4.7,203.2,106.59411999999999
2501,2502,Tarence Kinsey,109,12.3,1.7,3.8,0.45299999999999996,0.2,0.7,0.324,1.1,1.3,0.8170000000000001,0.7,0.9,0.4,1.0,1.3,0.5,0.6,0.0,4.7,198.12,85.728888
2502,2503,Martin Muursepp,83,11.4,1.7,3.9,0.425,0.2,0.7,0.32299999999999995,1.1,1.7,0.693,0.6,1.9,1.0,1.2,2.2,0.6,0.5,0.3,4.7,205.74,106.59411999999999
2504,2505,C.J. Williams,53,15.7,2.0,4.4,0.44799999999999995,0.5,1.8,0.287,0.2,0.3,0.765,0.5,1.5,0.2,1.0,1.2,1.0,0.7,0.2,4.7,195.58,104.32616
